20001,-2.00,-1.29,10.16
20101,-6.04,4.98,14.98
20201,0.12,6.86,5.22
20301,-1.22,-2.39,9.65
20401,-0.39,3.69,9.96
20501,-0.75,1.02,10.47
20601,-0.86,0.51,9.89
20701,-0.78,1.06,9.49
20801,-0.90,0.67,9.69
20901,-1.06,0.75,10.36
21001,-0.63,0.71,9.45
21101,-0.82,0.39,9.65
21201,-1.10,0.43,8.83
21301,-1.18,-0.04,10.20
21401,-1.02,0.12,10.04
21501,-1.26,0.00,10.04
21601,-1.14,0.43,8.90
21701,-1.69,0.35,10.43
21801,-2.43,-1.22,17.34
21901,-1.06,0.51,10.32
22001,-1.26,0.63,9.69
22101,-1.84,-1.57,13.38
22201,-0.78,0.27,7.85
22301,0.04,-0.71,10.87
22401,-0.35,0.43,11.02
22501,-0.16,0.08,9.92
22601,0.00,0.43,9.18
22701,0.04,0.35,8.98
22801,0.00,-0.20,8.94
22901,-0.04,0.31,10.04
23001,-0.59,-0.82,11.49
23101,-0.24,0.00,8.87
23201,-0.31,0.20,9.89
23301,-0.59,-0.51,9.89
23401,-0.24,0.35,9.57
23501,-0.27,0.00,9.69
23601,-0.43,-0.47,9.57
23701,-0.24,0.08,9.26
23801,-0.24,0.04,9.22
23901,-0.51,0.16,10.32
24001,-0.47,0.39,9.85
